"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","GOOD","id","app_id"
"3","2005","07","01","Friday",0,"SO",20,1,"P",1,1078.5,344.85,5,2,10,0.023684693,0,11,1,56.6484375,1,3,"3",647,2,0.0666666666666667,"0","dm.plus",1
"7","2005","07","01","Friday",1,"SL",25,4,"R",1.09,2423,1410.44,25.12,1.58,11.05,0.043784021,34.33,6.89,3.79,40.359375,1.03,2.43,"5",478.26,0,0.4,"1","dm.plus",8
"8","2005","07","01","Friday",0,"SA",19,0,"P",1,950,281.41,2,1,12.35,0.189608414,0,0,1.38,51.75,1.07,3,"3",0,0,0.133333333333333,"0","dm.plus",17
"9","2005","07","01","Friday",160,"SO",18,0.61,"P",1.54,1009.5,919.92,25.04,1.25,13,0,174.89,19,0.449999999999999,95.125,1.31,2.2,"5",55.2724999999998,0,0.366666666666667,"1","dm.plus",16
"11","2005","07","01","Friday",400,"SN",20,0,"P",1.22,950,452.35,10,2,17,0.258482311,69,6,3,47.71875,1,2,"3",0,1,0.0666666666666667,"0","dm.plus",21
"12","2005","07","01","Friday",400,"SO",22,2.53,"P",1.15,1223.5,312.59,33,1.33,12,0.049773855,23.7616666666667,23,4,66.875,1,2,"5",586.16,0,0.233333333333333,"1","dm.plus",2
"13","2005","07","01","Friday",0,"SO",16,0.41,"P",1.1,590,571.04,22.73,1.15,31,0,52.99,13,0.379999999999999,46.1953125,1.17,2.64,"5",13.5799999999996,0,0.366666666666667,"1","dm.plus",6
"14","2005","07","01","Friday",0,"SD",19,0,"P",1,473.5,203.52,3,2,18.0733333333333,0.018332295,29,10.83,1.52,9.40625,1,4,"3",0,1,0.166666666666667,"0","dm.plus",20
"16","2005","07","01","Friday",0,"SM",26,1.67,"H",1.12,3150,186,15,1,18.6,0,0,12.54,0,63.558671875,1.02,2.85,"3",0,0,0.233333333333333,"1","dm.plus",25
"17","2005","07","01","Friday",2400,"SC",45,1,"R",1,3279,1037.77,2,2,19.37,0.165088444,0,11.97,7,66.625,1,2.04,"3",0,1,0.166666666666667,"1","dm.plus",11
"18","2005","07","02","Saturday",0,"SO",22,0,"P",1.06,896.5,659.17,20.9,1.35,10.56,0,42.81,9.91,2.56,49.57890625,1.07,2.75,"4",45.4199999999997,0,0.433333333333333,"0","dm.plus",41
"19","2005","07","02","Saturday",0,"SO",16,0.62,"P",1.12,464.5,465.76,23.33,1.09,3,0,30.76,3,0.159999999999999,51.2734375,1.01,2.21,"5",21.7999999999995,0,0.366666666666667,"1","dm.plus",29
"20","2005","07","02","Saturday",0,"SC",21,1,"P",1,3300,248,4,1,18,0.043059223,95,23,2,69.640625,1,3,"3",2970,1,0,"0","dm.plus",30
"21","2005","07","02","Saturday",0,"SA",20,1,"P",1.13,950,259.14,13,2,22,0.083012587,39,20,1,74.921875,1,0,"3",0,1,0.0666666666666667,"0","dm.plus",40
"22","2005","07","02","Saturday",420,"SO",21,1,"R",1.19,250,0,18,2,15,0.047378897,40.88,11,2.11,38.234375,1.03,2,"3",0,0,0.133333333333333,"0","dm.plus",43
"24","2005","07","02","Saturday",1,"SO",21,0.87,"R",1.11,891.5,643.36,21.46,1.12,9.92,0,36.15,6.88,1.49,40.21875,1,1.76,"5",16.2399999999996,0,0.466666666666667,"1","dm.plus",38
"25","2005","07","02","Saturday",700,"SN",21,0.84,"R",1,500,526,4,1.35,24.14,0.031742534,74.46,12.515,0,70.828125,1.21,2.25,"5",60.7999999999998,0,0.266666666666667,"0","dm.plus",26
"27","2005","07","02","Saturday",0,"SD",20,1,"P",1.33,708.5,420.98,22,1,3,0.325250065,196.23,5.34,1.74,31.40625,2,0,"3",0,0,0.2,"0","dm.plus",34
