"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","id","app_id","GOOD"
"1","2005","07","01","Friday",0,"SB",19,1,"P",1,500,250,5,1,13,0,24.77,3,1,56.5177734375,1.03,2.5,"3",0,0,0.172413793103448,1,-24,"0"
"2","2005","07","01","Friday",0,"SO",29,2,"R",1,1017.5,562.38,5,1,12.06,0.007529167,89,7.08,2.03,68.859375,1,1,"3",0,0,0.166666666666667,1,-10,"0"
"3","2005","07","01","Friday",0,"SO",20,1,"P",1,1023.5,340.7275,5,2,10,0.023684693,0,11,1,56.6484375,1,3,"3",647,2,0.0666666666666667,2,1,"0"
"4","2005","07","01","Friday",0,"SO",16,0,"P",1.09,906,432.21,19.81,1.12,18.05,0.208693366,44.67,11.61,0.61,65.328125,1.05,2.55,"5",7.05999999999937,0,0.4,1,-15,"0"
"5","2005","07","01","Friday",600,"SE",18,0,"P",1.23,579,442.07,11,1,16.02,0.545006987,80,8.76,0,51.234375,1,2,"3",37,1,0.166666666666667,1,-19,"0"
"6","2005","07","01","Friday",0,"SF",16,0,"P",1.35,949,721.17,21.17,1.16,2,0.429499278,126.81,0,0.54,59.4765625,1.3,2.39,"5",29.0299999999994,0,0.333333333333333,1,-18,"0"
"7","2005","07","01","Friday",1,"SL",25,4,"R",1.07,1475.5,931.63,26.29,1.44,10.39,0.043784021,52.91,6.54,2.4,40.359375,1.01,2.18,"5",193.89,0,0.4,2,8,"1"
"8","2005","07","01","Friday",0,"SA",19,0,"P",1,950,330.31,2,1,12.73,0.189608414,0,0,1.42,51.75,1.05,3,"3",0,0,0.133333333333333,2,17,"0"
"9","2005","07","01","Friday",160,"SO",18,0.57,"P",1.46,822.5,467.06,23.28,1.23,13,0,414.18,19,0.429999999999999,95.125,1.52,1.63,"5",32.4199999999996,0,0.366666666666667,2,16,"1"
"10","2005","07","01","Friday",0,"SO",20,1,"P",1.47,200,1051.47,24,5,19,0.226873838,0,12,6,57.515625,2,0,"1",290,4,0.0666666666666667,1,-9,"0"
"11","2005","07","01","Friday",400,"SN",20,0,"P",1.14,950,413.05,10,2,17,0.258482311,69,6,3,47.71875,1,2,"3",0,1,0.0666666666666667,2,21,"0"
"12","2005","07","01","Friday",400,"SO",22,2.47,"P",1.09,1058,314.08,33,1.37,12,0.049773855,19.39,23,4,66.875,1,2,"5",369.85,0,0.233333333333333,2,2,"1"
"13","2005","07","01","Friday",0,"SO",16,0.47,"P",1.41,901,512.8,26.04,1.15,31,0,136.89,13,0.329999999999999,46.1953125,1.42,1.83,"5",48.1199999999995,0,0.366666666666667,2,6,"1"
"14","2005","07","01","Friday",0,"SD",19,0,"P",1,441,249.57,3,2,18.46,0.018332295,29,9.61,1.38,9.40625,1,4,"3",0,1,0.166666666666667,2,20,"0"
"15","2005","07","01","Friday",0,"SE",21,1,"P",1.19,1200,558.67,20,2,12.37,0.523693159,59.06,9.69,3,42.6796875,1,0,"3",363,1,0.2,1,-12,"0"
"16","2005","07","01","Friday",0,"SM",26,1.79,"H",1.08,3150,186,15,1,15.12,0,0,11.45,0,57.7954101563,1.1,2.43,"3",0,0,0.233333333333333,2,25,"1"
