"","Year","Month","Day","wday","GOOD","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","app_id","id"
"7","2005","07","01","Friday","1",1,"SL",25,4,"R",1,400,464,5,1,5,0.043784021,0,6,3,40.359375,1,3,"5",59,0,8,"dm"
"9","2005","07","01","Friday","1",160,"SO",18,1,"P",1,250,342,11,2,13,0,115,19,0,95.125,1,1,"5",1851,0,16,"dm"
"12","2005","07","01","Friday","1",400,"SO",22,0,"P",1,450,0,33,2,12,0.049773855,91,23,4,66.875,1,2,"5",74,0,2,"dm"
"13","2005","07","01","Friday","1",0,"SO",16,1,"P",1,600,0,6,1,31,0,18,13,1,46.1953125,1,1,"5",1937,0,6,"dm"
"16","2005","07","01","Friday","1",0,"SM",26,1,"H",1,3150,186,15,1,55,0,0,10,0,77.828125,1,4,"3",0,0,25,"dm"
"17","2005","07","01","Friday","1",2400,"SC",45,1,"R",1,21200,4434,2,2,4,0.165088444,0,9,7,66.625,1,4,"3",0,1,11,"dm"
"19","2005","07","02","Saturday","1",0,"SO",16,2,"P",1,250,32,2,1,3,0,1,3,0,51.2734375,1,0,"5",0,0,29,"dm"
"24","2005","07","02","Saturday","1",1,"SO",21,3,"R",2,500,0,3,1,1,0,35,4,0,40.21875,1,1,"5",0,0,38,"dm"
"29","2005","07","02","Saturday","1",0,"SO",22,3,"P",3,950,124,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,37,"dm"
"37","2005","07","05","Tuesday","1",1000,"SE",22,1,"R",1,4450,4122,3,1,21,0,0,17,0,33.7578125,2,2,"4",0,0,65,"dm"
"38","2005","07","05","Tuesday","1",1,"SF",22,0,"P",1,750,4712,17,1,10,0.174824473,45,3,4,67.03125,1,1,"5",819,0,86,"dm"
"42","2005","07","05","Tuesday","1",0,"SA",19,1,"P",1,300,1827,13,1,12,0.02842301,40,3,2,58.296875,1,0,"3",0,0,80,"dm"
"49","2005","07","05","Tuesday","1",1,"SO",18,1,"P",2,400,1521,16,2,23,0.167880833,0,11,0,58.375,1,2,"5",1648,0,62,"dm"
"51","2005","07","05","Tuesday","1",140,"FT",17,1,"P",1,350,4216,9,2,4,0,16,2,1,67.78125,1,1,"5",759,0,67,"dm"
"52","2005","07","05","Tuesday","1",1,"SC",23,6,"R",1,1900,0,30,1,5,0.077688828,0,4,0,68.328125,1,0,"3",0,0,45,"dm"
"54","2005","07","05","Tuesday","1",0,"SO",23,4,"R",1,200,0,8,3,18,0,0,1,2,59.84375,1,3,"5",275,0,64,"dm"
"56","2005","07","05","Tuesday","1",1,"SL",17,2,"R",1,350,1827,3,1,4,0,0,2,0,30.25390625,1,3,"5",978,0,74,"dm"
"58","2005","07","05","Tuesday","1",0,"SG",20,2,"P",1,750,62,6,1,63,0.006573045,0,11,1,63.9296875,1,2,"3",354,1,61,"dm"
"60","2005","07","06","Wednesday","1",1,"SL",22,0,"P",1,1500,0,19,1,93,0.1978847,40,19,6,49.640625,1,3,"3",0,0,106,"dm"
"64","2005","07","06","Wednesday","1",0,"SO",18,1,"P",1,500,124,18,1,8,0,0,12,0,64.421875,1,0,"5",1040,0,114,"dm"
"73","2005","07","06","Wednesday","1",960,"SM",46,1,"R",1,950,805,3,3,2,0,0,0,0,43.2265625,2,1,"3",0,0,96,"dm"
"74","2005","07","06","Wednesday","1",1,"SL",22,4,"R",1,350,0,16,2,5,0.087539523,36,11,2,48.28125,1,0,"5",0,0,92,"dm"
"77","2005","07","06","Wednesday","1",0,"SO",18,2,"P",1,2350,528,8,1,4,0.027053592,1,26,1,50.9765625,1,0,"5",0,0,110,"dm"
"81","2005","07","06","Wednesday","1",1,"SL",19,1,"P",1,500,0,10,2,22,0.099442833,44,9,0,68.78125,2,0,"3",1150,2,119,"dm"
"83","2005","07","07","Thursday","1",0,"SO",20,1,"P",2,650,216,16,1,15,0,0,2,0,9.8125,1,1,"5",72,0,147,"dm"
"86","2005","07","07","Thursday","1",0,"FT",22,1,"P",1,4300,1521,50,2,24,0.096788399,1,19,0,24.87890625,1,0,"5",0,0,128,"dm"
"97","2005","07","07","Thursday","1",1,"SO",29,4,"R",1,10350,3782,20,1,9,0.209901922,1,21,0,60.078125,1,0,"5",1389,0,135,"dm"
"100","2005","07","07","Thursday","1",1,"SD",18,1,"P",1,200,0,33,1,53,0.024618474,0,15,2,55.578125,1,1,"5",262,0,131,"dm"
"104","2005","07","07","Thursday","1",0,"SA",19,0,"P",2,150,806,9,2,23,0.098250776,0,7,3,83.9375,1,1,"3",0,1,151,"dm"
"106","2005","07","08","Friday","1",1,"SB",20,2,"P",1,900,1394,9,1,7,0.065083901,36,15,15,64.1875,2,0,"5",1003,0,162,"dm"
"111","2005","07","08","Friday","1",0,"SC",36,1,"H",1,4700,124,17,1,4,0.027851643,20,7,1,80.25,1,0,"5",0,0,180,"dm"
"116","2005","07","08","Friday","1",1,"SK",18,0,"P",1,3000,0,33,1,10,0,25,27,0,46.4296875,1,0,"3",0,0,179,"dm"
"118","2005","07","08","Friday","1",0,"SO",18,1,"P",1,100,124,4,1,3,0.092462448,0,23,2,27.51953125,1,1,"3",0,0,188,"dm"
"121","2005","07","08","Friday","1",0,"SO",20,2,"P",1,150,0,5,1,9,0.000528448,1,0,0,55.4453125,1,1,"3",0,0,175,"dm"
"122","2005","07","08","Friday","1",0,"SO",17,0,"P",1,500,1,15,1,2,0.238042976,35,4,0,56.40625,1,0,"5",642,0,174,"dm"
"124","2005","07","08","Friday","1",160,"SB",18,1,"P",1,3150,1768,4,1,32,0,24,21,0,76.9375,1,0,"5",0,0,186,"dm"
"126","2005","07","08","Friday","1",100,"SN",26,0,"P",1,500,61,22,1,5,0.089765755,0,10,6,50.25,1,3,"3",0,0,176,"dm"
"127","2005","07","08","Friday","1",0,"SL",22,5,"P",1,700,1,1,1,33,0.128964513,1,23,6,61.296875,2,1,"3",275,1,167,"dm"
"130","2005","07","08","Friday","1",0,"SO",24,1,"P",1,1050,403,1,1,31,0,0,6,5,44.265625,2,0,"5",2189,0,157,"dm"
"131","2005","07","08","Friday","1",0,"SO",18,1,"P",1,2650,0,39,1,24,0.053124871,1,19,2,74.8125,2,0,"3",0,0,158,"dm"
"133","2005","07","08","Friday","1",0,"SC",18,0,"P",1,500,123,7,1,76,0.106758389,1,23,0,67.328125,2,1,"5",0,0,194,"dm"
"135","2005","07","09","Saturday","1",0,"SC",20,2,"P",1,6000,62,6,2,29,0.12147477,30,14,2,64.234375,2,0,"3",1950,1,213,"dm"
"138","2005","07","09","Saturday","1",0,"SC",18,0,"P",2,150,1,7,1,11,0,66,1,1,53.1015625,1,2,"3",0,0,208,"dm"
