"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","GOOD","id","app_id","na_prop"
"7","2005","07","01","Friday",1,"SL",25,4,"R",1.09,1210.5,238.64,17.75,1.41,15.39,0.043784021,17.43,11.92,2.62,40.359375,1.04,2.1,"5",146.06,0,"1","dm",1,0.3
"9","2005","07","01","Friday",160,"SO",18,0.86,"P",1.29,911.5,481.79,35.57,1.19,13,0,196.39,19,0.62,95.125,1.14,2.24,"5",15.5999999999997,0,"1","dm",8,0.266666666666667
"12","2005","07","01","Friday",400,"SO",22,2.47,"P",1.14,1137,220.04,33,1.45,12,0.049773855,17.73,23,4,66.875,1,2,"5",395.81,0,"1","dm",17,0.206896551724138
"13","2005","07","01","Friday",0,"SO",16,0.53,"P",1,309,101.19,14.235,1.03,31,0,21.88,13,0.43,46.1953125,1.01,1.94,"5",13.8799999999995,0,"1","dm",16,0.133333333333333
"16","2005","07","01","Friday",0,"SM",26,1.45,"H",1.15,3150,186,15,1,22.71,0,0,13.2,0,60.851640625,1.1,2.14,"3",0,0,"1","dm",21,0.433333333333333
"17","2005","07","01","Friday",2400,"SC",45,1,"R",1,3703.5,1514.64,2,2,23.06,0.165088444,0,14.75,7,66.625,1,1.53,"3",0,1,"1","dm",2,0.466666666666667
"19","2005","07","02","Saturday",0,"SO",16,0.47,"P",1.09,477,166.19,15.86,1.04,3,0,17.08,3,0.5,51.2734375,1.01,1.52,"5",3.5799999999995,0,"1","dm",6,0.2
"24","2005","07","02","Saturday",1,"SO",21,1.19,"P",1.13,720,124.71,12.26,1.3,10.35,0,16.36,11.97,1.77,40.21875,1,1.38,"5",92.9749999999999,0,"1","dm",20,0.0666666666666667
"29","2005","07","02","Saturday",0,"SO",22,3,"P",1.3,950,296.16,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,"1","dm",25,0.433333333333333
"37","2005","07","05","Tuesday",1000,"SE",22,1.58,"R",1.16,1206,654.87,16.17,1.12,15.06,0,45.95,9.82,1.89,45.51225585943,1.09,1.67,"4",81.0099999999999,0,"1","dm",11,0.1
"38","2005","07","05","Tuesday",1,"SF",22,0,"P",1.16,1338,731.27,17,1.2,10,0.174824473,45,3,4,67.03125,1.11,1.73,"5",111.83,0,"1","dm",41,0.2
"42","2005","07","05","Tuesday",0,"SA",19,1,"P",1.05,580.166666666667,465.99,13,1,12,0.02842301,40,3,2,58.296875,1.14,1.79333333333333,"3",0,0,"1","dm",29,0.366666666666667
"49","2005","07","05","Tuesday",1,"SO",18,0.57,"P",1.18,672.166666666667,258.32,17.65,1.07,23,0.167880833,25.02,11,0,58.375,1.11,1.64,"5",27.2199999999997,0,"1","dm",30,0.4
"51","2005","07","05","Tuesday",140,"FT",17,0.79,"P",1.17,917.166666666667,426.93,15.28,1.27,20.17,0,25.595,10.59,0.69,67.78125,1,1,"5",92.8699999999999,0,"1","dm",40,0.133333333333333
"52","2005","07","05","Tuesday",1,"SC",23,6,"R",1.17,1900,0,30,1,25.8,0.077688828,20.34,13.58,0,68.328125,1,0,"3",0,0,"1","dm",43,0.2
"54","2005","07","05","Tuesday",0,"SO",23,4,"R",1.17,989.5,356.62,8,1.08,16.98,0,0,11.44,2,59.84375,1.07,3,"5",291.37,0,"1","dm",38,0.366666666666667
