"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","id","app_id","BAD"
"1","2005","07","01","Friday",0,"SB",19,1,"P",1,500,250,5,1,13,0,31.8466666666667,3,1,56.53265625,1.05,2.54,"3",0,0,0.172413793103448,"dm.minus",-24,"0"
"2","2005","07","01","Friday",0,"SO",29,2,"R",1,965,630.26,5,1,14.93,0.007529167,89,6.85666666666667,2.37,68.859375,1,1,"3",0,0,0.166666666666667,"dm.minus",-10,"0"
"3","2005","07","01","Friday",0,"SO",20,1,"P",1,987.166666666667,239.45,5,2,10,0.023684693,0,11,1,56.6484375,1,3,"3",647,2,0.0666666666666667,"dm.plus",1,"1"
"4","2005","07","01","Friday",0,"SO",16,0,"P",1.1,356,296.05,19.8,1.04,16.155,0.208693366,60.1466666666667,8.22,0.69,65.328125,1.04,2.67,"5",16.3799999999993,0,0.4,"dm.minus",-15,"0"
"5","2005","07","01","Friday",600,"SE",18,0,"P",1.14,403.5,385.27,11,1,15.64,0.545006987,80,7.7,0,51.234375,1,2,"3",37,1,0.166666666666667,"dm.minus",-19,"0"
"6","2005","07","01","Friday",0,"SF",16,0,"P",1.19,932.5,557.65,21.52,1.17,2,0.429499278,98.22,0,0.69,59.4765625,1.11,2.58,"5",33.4499999999995,0,0.333333333333333,"dm.minus",-18,"0"
"7","2005","07","01","Friday",1,"SL",25,4,"R",1.09,1115.5,726.08,23.48,1.47,10.4,0.043784021,43.82,5.58,1.53,40.359375,1.04,2.51,"5",81.7899999999997,0,0.4,"dm.plus",8,"0"
"8","2005","07","01","Friday",0,"SA",19,0,"P",1,950,264.9,2,1,10.52,0.189608414,0,0,1.13,51.75,1.05,3,"3",0,0,0.133333333333333,"dm.plus",17,"1"
"9","2005","07","01","Friday",160,"SO",18,0.54,"P",1.49,1589.5,1188.27,28.18,1.4,13,0,567.28,19,1.05,95.125,1.27,2.25,"5",72.8549999999998,0,0.366666666666667,"dm.plus",16,"0"
"10","2005","07","01","Friday",0,"SO",20,1,"P",1.41,200,453.79,24,5,19,0.226873838,0,12,6,57.515625,2,0,"1",290,4,0.0666666666666667,"dm.minus",-9,"0"
"11","2005","07","01","Friday",400,"SN",20,0,"P",1.19,950,480.116666666667,10,2,17,0.258482311,69,6,3,47.71875,1,2,"3",0,1,0.0666666666666667,"dm.plus",21,"1"
"12","2005","07","01","Friday",400,"SO",22,1.64,"P",1.08,828,335.58,33,1.31,12,0.049773855,21.71,23,4,66.875,1,2,"5",152.66,0,0.233333333333333,"dm.plus",2,"0"
"13","2005","07","01","Friday",0,"SO",16,0.36,"P",1.13,513.5,238.91,22.28,1.12,31,0,39.55,13,0.389999999999999,46.1953125,1.03,2.51,"5",32.1099999999993,0,0.366666666666667,"dm.plus",6,"0"
"14","2005","07","01","Friday",0,"SD",19,0,"P",1,489.5,223.97,3,2,16.52,0.018332295,29,10.04,1.26,9.40625,1,4,"3",0,1,0.166666666666667,"dm.plus",20,"1"
"15","2005","07","01","Friday",0,"SE",21,1,"P",1.14,1200,671.98,20,2,13.056,0.523693159,48.9033333333333,9.54,3,42.6796875,1,0,"3",363,1,0.2,"dm.minus",-12,"0"
"16","2005","07","01","Friday",0,"SM",26,1.574,"H",1.12,3150,186,15,1,22.05,0,0,10.09,0,59.965546875,1.02,2.79,"3",0,0,0.233333333333333,"dm.plus",25,"0"
"17","2005","07","01","Friday",2400,"SC",45,1,"R",1,2941.5,1260.1,2,2,13.74,0.165088444,0,9.66,7,66.625,1,1.65,"3",0,1,0.166666666666667,"dm.plus",11,"0"
"18","2005","07","02","Saturday",0,"SO",22,0,"P",1.17,795.5,545.13,23.88,1.31,14.03,0,52.65,10.59,2.35,52.7676953125,1.01,2.22,"4",24.0299999999995,0,0.433333333333333,"dm.plus",41,"1"
"19","2005","07","02","Saturday",0,"SO",16,0.46,"P",1.12,593.5,310.74,20.42,1.09,3,0,48.85,3,0.57,51.2734375,1.03,2.57,"5",5.35999999999935,0,0.366666666666667,"dm.plus",29,"0"
"20","2005","07","02","Saturday",0,"SC",21,1,"P",1,3300,248,4,1,18,0.043059223,95,23,2,69.640625,1,3,"3",2970,1,0,"dm.plus",30,"1"
"21","2005","07","02","Saturday",0,"SA",20,1,"P",1.135,950,264.05,13,2,22,0.083012587,39,20,1,74.921875,1,0,"3",0,1,0.0666666666666667,"dm.plus",40,"1"
"22","2005","07","02","Saturday",420,"SO",21,1,"R",1.08,250,0,18,2,15,0.047378897,29.45,11,2.04,38.234375,1.05,2,"3",0,0,0.133333333333333,"dm.plus",43,"1"
"23","2005","07","02","Saturday",1,"SO",19,2,"P",1,200,117.14,2,1,5,0.086232583,43.89,2,1,53.9921875,1.04,2.13,"3",0,0,0.133333333333333,"dm.minus",-35,"0"
"24","2005","07","02","Saturday",1,"SO",21,1,"R",1.12,655,338.44,17.6633333333333,1.22,11.19,0,43.33,6.09,1.09,40.21875,1.03,2.75,"5",4.1199999999994,0,0.466666666666667,"dm.plus",38,"0"
"25","2005","07","02","Saturday",700,"SN",21,1.09,"R",1,500,526,4,1.28,24.21,0.031742534,58.63,12.66,0,70.828125,1.21,2.13,"5",24.8299999999995,0,0.266666666666667,"dm.plus",26,"1"
"26","2005","07","02","Saturday",500,"SL",25,1.03,"R",1.25,898,659.26,19.29,1.29,10.17,0.084350414,59.42,5.24,1.11,40.1796875,1.04,2.32,"5",31.7499999999995,0,0.433333333333333,"dm.minus",-36,"0"
"27","2005","07","02","Saturday",0,"SD",20,1,"P",1.51,643.5,406.905,22,1,3,0.325250065,146.69,5.75,1.52,31.40625,2,0,"3",0,0,0.2,"dm.plus",34,"1"
"28","2005","07","02","Saturday",0,"SO",19,1,"P",1,1040,423.82,6,3,17.07,0.031082119,0,0,3,66.28125,2,1,"3",0,2,0.1,"dm.minus",-27,"0"
"29","2005","07","02","Saturday",0,"SO",22,3,"P",1.17,950,417.19,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,0.0666666666666667,"dm.plus",37,"0"
"30","2005","07","02","Saturday",380,"SD",16,0.59,"P",1.17,971,505.13,21.11,1.24,9.84,0.856112704,41.91,7.49,0.92,43.3046875,1.06,2.59,"5",32.1499999999995,0,0.433333333333333,"dm.minus",-28,"0"
"31","2005","07","02","Saturday",0,"SE",30,0,"P",1.31,1444,817.484,13,3,21,1.03741033,64.0833333333333,12,4.35,56.625,1,1,"3",0,0,0.166666666666667,"dm.minus",-42,"0"
"32","2005","07","02","Saturday",0,"SC",21,1,"P",1.33,1235.5,551.71,11,1.97,17,0.244124008,297,4,5,55.71875,1.17,4,"5",94.6599999999996,0,0.2,"dm.plus",31,"1"
"33","2005","07","05","Tuesday",0,"SA",19,0,"P",1.11,1450,31,9,1.27,7,0,25,5,1,86.515625,1,2,"5",145.46,0,0.1,"dm.minus",-60,"0"
"34","2005","07","05","Tuesday",0,"SA",20,2,"R",1.07,586.5,324.39,65,1,4,0.063900195,36.34,8.7,1.89,52.6953125,1.03,2.06,"3",0,0,0.266666666666667,"dm.minus",-79,"0"
"35","2005","07","05","Tuesday",260,"SO",19,0.65,"P",1.07,476.5,361.83,18.59,1.13,8,0,46.16,10,0.94,44.4453125,1.05,2.26,"5",7.83999999999935,0,0.366666666666667,"dm.minus",-83,"0"
"36","2005","07","05","Tuesday",0,"SA",24,0,"R",1.11,677,380.2,22,2,10.37,0.094695772,44.34,7.02,1,45.8359375,1,1.1,"2",0,1,0.233333333333333,"dm.minus",-81,"0"
"37","2005","07","05","Tuesday",1000,"SE",22,1.83,"R",1.13,982.5,754.69,20.46,1.27,9.28,0,27.96,5.53,1.71,50.800234375,1.03,2.12,"4",43.4099999999996,0,0.466666666666667,"dm.plus",65,"0"
"38","2005","07","05","Tuesday",1,"SF",22,0,"P",1.07,735,446,17,1.55,10,0.174824473,45,3,4,67.03125,1.02,1.79,"5",33.3399999999994,0,0.233333333333333,"dm.plus",86,"0"
"39","2005","07","05","Tuesday",1,"SD",19,0,"P",1.06,765.5,386.1,20.94,1.13,4,0,32.65,10.79,1.4,75.859375,1.05,2.16,"5",42.0999999999995,0,0.366666666666667,"dm.minus",-63,"0"
"40","2005","07","05","Tuesday",0,"SO",20,0,"P",1.2,602,299.12,19,1,14,0.057799896,110,6,1,47.03125,1,1,"3",0,0,0.1,"dm.minus",-57,"0"
"41","2005","07","05","Tuesday",0,"SM",19,0,"P",1.06,300,185.72,15,1.13,27,0.04827386,34.99,12,3,77.671875,1.01,2.28,"5",47.9999999999994,0,0.233333333333333,"dm.minus",-88,"0"
"42","2005","07","05","Tuesday",0,"SA",19,1,"P",1.06,421,200.38,13,1,12,0.02842301,40,3,2,58.296875,1.03,2.2,"3",0,0,0.166666666666667,"dm.plus",80,"0"
"43","2005","07","05","Tuesday",1,"SF",20,1,"P",1.09,550,0,6,2,27,0.113545652,0,15,1,71.828125,1,1.43,"3",63,2,0.1,"dm.minus",-55,"0"
