"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id","GOOD"
"7","2005","07","01","Friday",1,"SL",25,4,"R",1,400,464,5,1,5,0.043784021,0,6,3,40.359375,1,3,"5",59,0,"1",8,"1"
"9","2005","07","01","Friday",160,"SO",18,1,"P",1,250,342,11,2,13,0,115,19,0,95.125,1,1,"5",1851,0,"1",16,"1"
"12","2005","07","01","Friday",400,"SO",22,0,"P",1,450,0,33,2,12,0.049773855,91,23,4,66.875,1,2,"5",74,0,"1",2,"1"
"13","2005","07","01","Friday",0,"SO",16,1,"P",1,600,0,6,1,31,0,18,13,1,46.1953125,1,1,"5",1937,0,"1",6,"1"
"16","2005","07","01","Friday",0,"SM",26,1,"H",1,3150,186,15,1,55,0,0,10,0,77.828125,1,4,"3",0,0,"1",25,"1"
"17","2005","07","01","Friday",2400,"SC",45,1,"R",1,21200,4434,2,2,4,0.165088444,0,9,7,66.625,1,4,"3",0,1,"1",11,"1"
"19","2005","07","02","Saturday",0,"SO",16,2,"P",1,250,32,2,1,3,0,1,3,0,51.2734375,1,0,"5",0,0,"1",29,"1"
"24","2005","07","02","Saturday",1,"SO",21,3,"R",2,500,0,3,1,1,0,35,4,0,40.21875,1,1,"5",0,0,"1",38,"1"
"29","2005","07","02","Saturday",0,"SO",22,3,"P",3,950,124,10,2,16,0.144333573,0,16,4,50.1796875,1,0,"3",2119,2,"1",37,"1"
"37","2005","07","05","Tuesday",1000,"SE",22,1,"R",1,4450,4122,3,1,21,0,0,17,0,33.7578125,2,2,"4",0,0,"1",65,"1"
"38","2005","07","05","Tuesday",1,"SF",22,0,"P",1,750,4712,17,1,10,0.174824473,45,3,4,67.03125,1,1,"5",819,0,"1",86,"1"
"42","2005","07","05","Tuesday",0,"SA",19,1,"P",1,300,1827,13,1,12,0.02842301,40,3,2,58.296875,1,0,"3",0,0,"1",80,"1"
"49","2005","07","05","Tuesday",1,"SO",18,1,"P",2,400,1521,16,2,23,0.167880833,0,11,0,58.375,1,2,"5",1648,0,"1",62,"1"
"51","2005","07","05","Tuesday",140,"FT",17,1,"P",1,350,4216,9,2,4,0,16,2,1,67.78125,1,1,"5",759,0,"1",67,"1"
"52","2005","07","05","Tuesday",1,"SC",23,6,"R",1,1900,0,30,1,5,0.077688828,0,4,0,68.328125,1,0,"3",0,0,"1",45,"1"
"54","2005","07","05","Tuesday",0,"SO",23,4,"R",1,200,0,8,3,18,0,0,1,2,59.84375,1,3,"5",275,0,"1",64,"1"
"56","2005","07","05","Tuesday",1,"SL",17,2,"R",1,350,1827,3,1,4,0,0,2,0,30.25390625,1,3,"5",978,0,"1",74,"1"
"58","2005","07","05","Tuesday",0,"SG",20,2,"P",1,750,62,6,1,63,0.006573045,0,11,1,63.9296875,1,2,"3",354,1,"1",61,"1"
"60","2005","07","06","Wednesday",1,"SL",22,0,"P",1,1500,0,19,1,93,0.1978847,40,19,6,49.640625,1,3,"3",0,0,"1",106,"1"
"64","2005","07","06","Wednesday",0,"SO",18,1,"P",1,500,124,18,1,8,0,0,12,0,64.421875,1,0,"5",1040,0,"1",114,"1"
"73","2005","07","06","Wednesday",960,"SM",46,1,"R",1,950,805,3,3,2,0,0,0,0,43.2265625,2,1,"3",0,0,"1",96,"1"
"74","2005","07","06","Wednesday",1,"SL",22,4,"R",1,350,0,16,2,5,0.087539523,36,11,2,48.28125,1,0,"5",0,0,"1",92,"1"
"77","2005","07","06","Wednesday",0,"SO",18,2,"P",1,2350,528,8,1,4,0.027053592,1,26,1,50.9765625,1,0,"5",0,0,"1",110,"1"
"81","2005","07","06","Wednesday",1,"SL",19,1,"P",1,500,0,10,2,22,0.099442833,44,9,0,68.78125,2,0,"3",1150,2,"1",119,"1"
"83","2005","07","07","Thursday",0,"SO",20,1,"P",2,650,216,16,1,15,0,0,2,0,9.8125,1,1,"5",72,0,"1",147,"1"
"86","2005","07","07","Thursday",0,"FT",22,1,"P",1,4300,1521,50,2,24,0.096788399,1,19,0,24.87890625,1,0,"5",0,0,"1",128,"1"
"97","2005","07","07","Thursday",1,"SO",29,4,"R",1,10350,3782,20,1,9,0.209901922,1,21,0,60.078125,1,0,"5",1389,0,"1",135,"1"
"100","2005","07","07","Thursday",1,"SD",18,1,"P",1,200,0,33,1,53,0.024618474,0,15,2,55.578125,1,1,"5",262,0,"1",131,"1"
"104","2005","07","07","Thursday",0,"SA",19,0,"P",2,150,806,9,2,23,0.098250776,0,7,3,83.9375,1,1,"3",0,1,"1",151,"1"
"106","2005","07","08","Friday",1,"SB",20,2,"P",1,900,1394,9,1,7,0.065083901,36,15,15,64.1875,2,0,"5",1003,0,"1",162,"1"
"111","2005","07","08","Friday",0,"SC",36,1,"H",1,4700,124,17,1,4,0.027851643,20,7,1,80.25,1,0,"5",0,0,"1",180,"1"
