"GOOD","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"0",0,"SO",20,1,"P",1,919.5,5,2,0,11,1,10,325.64,0.0236846933,56.6484375,1,2,647,"3",3
"1",1,"SL",25,4,"R",1.16,685.5,19.9,1.27,22.77,6.16,1.71,9.57,396.3,0.0437840207,40.359375,1.07,0,114.59,"5",2.09
"0",0,"SA",19,0,"P",1,950,2,1,0,0,1.38,11.8225,326.12,0.1896084142,51.75,1.13,0,0,"3",3
"1",160,"SO",18,0.63,"P",1.08,505.625,41.3233333333333,1.02,37.22,19,0.179999999999999,13,326.01,0,95.125,1.07,0,4.00999999999927,"5",2.09
"0",400,"SN",20,0,"P",1.25,950,10,2,69,6,3,17,512.94,0.2584823109,47.71875,1,1,0,"3",2
"1",400,"SO",22,3.07,"P",1.165,923,33,1.26,15.55,23,4,12,308.06,0.0497738554,66.875,1,0,294.7,"5",2
"1",0,"SO",16,0.29,"P",1.11,437.625,31.7375,1.04,36.1333333333333,13,0.37,31,225.243666666667,0,46.1953125,1.06,0,-7.13384906703141e-13,"5",2.72
"0",0,"SD",19,0,"P",1,360.5,3,2,29,11.67,1.36,16.96,241.933333333333,0.0183322951,9.40625,1,1,0,"3",4
"1",0,"SM",26,1.57,"H",1.21,3150,15,1,0,13.06,0,20.766,186,0,63.5852083333333,1.05,0,0,"3",2.2
"1",2400,"SC",45,1,"R",1,3781.5,2,2,0,11.29,7,16.605,2135.3,0.165088444,66.625,1,1,0,"3",1.59
"0",0,"SO",22,0,"P",1.06,582.5,22.4,1.25,44.705,8.55,2.23,11.38,455.36,0,50.0628515625,1.03,0,18.7199999999994,"4",2.79
"1",0,"SO",16,0.71,"P",1,155,14.299,1.03,36.61,3,0.229999999999999,3,110.53,0,51.2734375,1.03,0,7.48999999999927,"5",2.09
"0",0,"SC",21,1,"P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,"3",3
"0",0,"SA",20,1,"P",1.26,950,13,2,39,20,1,22,349.9,0.0830125867,74.921875,1,1,0,"3",0
"0",420,"SO",21,1,"R",1.17,250,18,2,82.47,11,2.47,15,0,0.0473788973,38.234375,1.07,0,0,"3",2
"1",1,"SO",21,1.81,"R",1.06,471,22.98,1.07,19.17,7.99,1.18,8.88,298.06,0,40.21875,1.07,0,2.63999999999939,"5",2.63
"0",700,"SN",21,1.16,"R",1,500,4,1.22,69.22,11.91,0,20.04,526,0.031742534,70.828125,1.26,0,46.9399999999996,"5",2.22
"0",0,"SD",20,1,"P",1.31,565,22,1,73.64,5.25333333333333,1.56,3,387.43,0.325250065,31.40625,2,0,0,"3",0
"1",0,"SO",22,3,"P",1.34,950,10,2,0,16,4,16,421.01,0.1443335731,50.1796875,1,2,2119,"3",0
"0",0,"SC",21,1,"P",1.46,1238.5,11,2.16666666666667,297,4,5,17,854.81,0.2441240083,55.71875,1.37,0,151.97,"5",4
"1",1000,"SE",22,1.72,"R",1.1,707.5,27.08,1.23,49.22,6.83,1.69,9.92,573.29,0,39.69552734375,1.07,0,27.8799999999995,"4",2.07
"1",1,"SF",22,0,"P",1.05,875.5,17,1.43,45,3,4,10,461.67,0.1748244725,67.03125,1.09,0,25.1699999999996,"5",2.2875
"1",0,"SA",19,1,"P",1,233.166666666667,13,1,40,3,2,12,79.76,0.0284230103,58.296875,1.05,0,0,"3",2.6
"0",0,"FT",22,1.01,"R",1.11,702,20.62,1.22,75.66,4.54,1.46,7.92,542.03,0.0791726275,48.7531640625,1.09,0,13.8199999999994,"5",2.49
"0",0,"SL",19,1,"P",1,200,1,1,54.9566666666667,11,0,7,0,0.1267379709,68.09375,1.13,0,0,"3",2.47
"1",1,"SO",18,0.56,"P",1.04,187.625,16.04,1.01,31.27,11,0,23,113.096666666667,0.1678808331,58.375,1.02,0,-7.64543983677868e-13,"5",2.45395833333333
"1",140,"FT",17,0.69,"P",1.23,652,30.805,1.36,30.2533333333333,11.6764285714286,0.259999999999999,28.64,377,0,67.78125,1,0,9.3759999999999,"5",1
"1",1,"SC",23,6,"R",1.34,1900,30,1,45.81,12.67,0,23.66,0,0.0776888279,68.328125,1,0,0,"3",0
"1",0,"SO",23,4,"R",1.11,650,8,1.15,0,8.9,2,11.57,371.44,0,59.84375,1.06,0,20.2799999999995,"5",3
"1",1,"SL",17,1.18,"R",1.07,475,25.45,1.08,25.5633333333333,6.91,0.746666666666667,10.94,375.47,0,30.25390625,1.05,0,52.5899999999996,"5",2.27
"1",0,"SG",20,2,"P",1,750,6,1,10.034,11,2.06,63,62,0.0065730454,63.9296875,1,1,354,"3",2
"0",0,"SO",30,0.91,"P",1.13,950,14,1,83.485,24,11,37,682,0.0527717074,78.921875,1.15,0,0,"3",2.48
"1",1,"SL",22,0,"P",1.32,1500,19,1,20.6,19,6,93,0,0.1978847003,49.640625,1.12,0,0,"3",1.83
"0",0,"SD",21,0,"R",1.37,812,11,2.14,635,5.52,1.88333333333333,10.685,728.03,0.0710863429,29.73828125,1,0,168.14,"5",2
"0",1,"SD",29,1,"H",1.755,100,83,2,334.81,9.62,0,20.59,1048.57,0.3677603146,63.859375,1.42,0,0,"3",1.79
"1",0,"SO",18,0.44,"P",1.07,211.892857142857,14.83,1.09,22.8766666666667,12,0,8,74.29,0,64.421875,1,0,4.40999999999931,"5",0.21
"0",0,"SA",23,0,"R",1.07,592.5,21.75,1.25,43.57,5,1.19,7.31,550.13,0.1037878948,53.7265625,1.03,0,57.4299999999996,"5",2.32
"0",0,"SA",21,4,"P",1.18,950,11,2,59.5866666666667,13,3.59,44,1116,0.0387659803,47.0859375,2,1,1320,"3",1
"1",960,"SM",46,1.28,"R",1,950,3,3,50.78,3.22,0,2,805,0,43.2265625,2,0,0,"3",1
"1",1,"SL",22,4,"R",1.13,350,16,1.28,15.694,10.76,2,15.66,0,0.0875395227,48.28125,1.01,0,77.4999999999996,"5",2.2
"0",0,"SB",19,1,"R",1.07,371.5,19.95,1.07,56.06,10.84,0.72,20.36,227.725,0.2540849233,71.3125,1.07,0,0.229999999999266,"5",2.28
"1",0,"SO",18,0.32,"P",1.08,236,15.0790740740741,1.01,22.92,26,0.219999999999999,4,101.345,0.0270535915,50.9765625,1.02,0,3.07999999999924,"5",2.42
"0",0,"SO",28,1,"R",1.15,614,20.88,1.31,57.53,5.67,0.99,12.01,782.73,0.3383732364,65.84375,1,0,60.89,"5",1
"1",1,"SL",19,1,"P",1.36,500,10,2,44,9,0,22,0,0.0994428329,68.78125,2,2,1150,"3",0
"1",0,"SO",20,1,"P",1.31,454.625,22.25,1.45,59.47,2,2.15,15,371.14,0,9.8125,1,0,125.8725,"5",1
"1",0,"FT",22,1.03,"R",1.05,906,26.13,1.22,24.37,5.99,1.86,8.565,563.115,0.0967883989,51.61671875,1.04,0,20.1499999999994,"5",2.38
"0",0,"SO",19,1,"P",1.57,2860,30.06,1.63,191.24,16,26,4,1762.05,0,17.1328125,1.3,0,179.65,"5",2.235
"0",1,"SC",19,1,"P",1.14,1697,27.0625,1.58,57.61,11.69,10,10,1065.89,0.3780874815,28.35546875,1.1,0,130.36,"5",4
"0",0,"SB",22,3,"P",1,3450,2,2,25,1,2,11,1294.51,0.1119794536,53.484375,1,2,3809,"3",1
"1",1,"SO",29,1.13,"R",1.06,979,32.68,1.26,18.54,3.33,2.08,6.36,991.89,0.2099019224,60.078125,1.03,0,4.29999999999955,"5",2.49
"1",1,"SD",18,0.52,"P",1.03,411,27.5,1.06,24.77,15,2,53,294.785,0.0246184738,55.578125,1.04,0,11.2299999999993,"5",2.46
"0",0,"SO",23,1,"P",1.02,354,21.02,1.1,41.05,11.25,2.06,13,198.053333333333,0.0325951611,40.953125,1.04,0,2.14999999999939,"5",2.8
