"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date"
2,"SO",24,1.44,"R",1.14,513.5,23.84,1.12,24.575,6.95,1.02,9.25,411.303333333333,0.3562036119,46.3203125,1.07,0,3.14999999999981,"5",2.18,-13,"01JUL2005"
0,"SO",20,0.91,"P",1,438.904761904762,5,1,0,13.53,2,18.66,128.95,0.1950859008,70.125,1,0,0,"3",2,22,"01JUL2005"
2,"SL",22,4,"R",1.31,797.5,26,1,0,10.96,2.38,21.86,457.605,0.181067396,18.046875,1,1,708,"3",0.83,3,"01JUL2005"
1,"SL",23,3.05,"P",1.11,900,31,1.34,1,5,5,9,260.81,0,89.9375,1.02,0,156.84,"5",2.7,5,"01JUL2005"
600,"SO",22,0.99,"R",1.16,491.5,14,1,57.42,0,0,13,436.852,0.0395147069,41.875,1,0,0,"3",1,-23,"01JUL2005"
0,"SD",19,0,"P",1.11,615.166666666667,27.86,1.05,45.412,16,0,15,453.115,0.2908548499,83.5625,1.02,0,21.8199999999998,"5",1.8,-7,"01JUL2005"
0,"SO",19,1,"P",1.12,413.666666666667,9,2,13.46,6,1,23,71.4142857142857,0,48.421875,1,1,0,"3",4,4,"01JUL2005"
1,"SM",24,2,"R",1.56,700,11,6,0,18,4.41,70,0,0.0727915345,67.59375,1,5,2068,"3",4,14,"01JUL2005"
1,"SO",19,0.86,"R",1.05,273.5,9.59,1,59.65,10.855,0.97,20.71,253.33,0.1450231127,76.703125,1.1,0,5.73999999999957,"5",2.81,32,"02JUL2005"
1,"SH",19,0,"P",1.15,609,33,1,22.2925,13,0,19,346.643333333333,0.0682756712,67.453125,1,0,0,"3",0.75,-33,"02JUL2005"
0,"SO",18,0.89,"P",1.23,276,25,1,52.325,13,0,31,340.6575,0,48.25,1,1,96,"3",2,39,"02JUL2005"
560,"SG",22,0,"R",1.29,1044,28.68,1.26,52.5,7.76,2.42,13.01,482.05,0.010470608,9.228515625,1.03,0,78.3299999999999,"5",1.96,48,"05JUL2005"
0,"SO",22,0,"P",1.17,751,23.59,1.19,61.64,8.6,2.25,9.88,361.46,0.2878310615,15.9140625,1.02,0,10.5599999999997,"5",2.61,72,"05JUL2005"
0,"SB",21,1,"P",1.04,543,17.0433333333333,1.13,26.18,15,2,9,146.538333333333,0.0523996683,89.28125,1.03,0,5.4499999999996,"5",3.14,84,"05JUL2005"
1,"SF",18,0,"P",2,377,5,1,0,22,0.507333333333333,13,114.611666666667,0.1024553964,51.1875,1,0,0,"3",2,68,"05JUL2005"
0,"SB",19,0,"P",1,150,1,1,0,7,2,19,31,0.3499066997,69.203125,1.145,0,0,"3",3,71,"05JUL2005"
0,"FT",23,0.94,"R",1.05,1223.5,23.78,1.09,47.53,4.43,1.65,8.2,621.97,0,47.8965625,1.05,0,15.4299999999997,"4",2.65,54,"05JUL2005"
1,"SC",20,3,"P",1.02,482,13.85,1.14,6.89,17.23,1.68,16.83,93.97,0.016225394,46.2109375,1.08,0,11.8799999999998,"5",3.01,78,"05JUL2005"
0,"SG",18,0,"P",1.11,508,25.35,1.16,44.06,12.34,0.23,20.495,503.335,0.3176978752,49.25,1,0,45.65,"5",0,-50,"05JUL2005"
0,"SN",20,0,"P",2,300,3,2,0,12.81,2,19.4766666666667,368.98,0.3764112424,56.953125,2,2,240,"3",1,-77,"05JUL2005"
0,"SB",22,2,"R",1.15,300,24,2,69,5.7,1.49,11.58,436.01,0,46.5853125,1,2,320,"3",3,-73,"05JUL2005"
80,"SO",19,0.76,"P",1.02,399.8,11.74,1.14,20.6,16,2,4,94.73,0.0714467224,61.1328125,1.01,0,7.68999999999954,"5",3.1,76,"05JUL2005"
0,"SO",17,0,"P",1.01,212,12.805,1.03,28.1,13,0.4,10,58.92,0,74.234375,1.01,0,6.16999999999985,"5",0.67,-58,"05JUL2005"
520,"SO",18,0.53,"P",1.33,373,10.855,1.19,30.78,4,0.37,9,135.55,0,72.09375,2,0,29.07,"5",0,49,"05JUL2005"
