"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date","GOOD","BAD"
0,"SO",20,1,"P",1,1006,5,2,0,11,1,10,138.96,0.0236846933,56.6484375,1,2,647,"3",3,1,"01JUL2005","0","1"
1,"SL",25,4,"R",1.23,1028,23.02,1.31,23.79,5.54,2.53,9.91,453.99,0.0437840207,40.359375,1.01,0,122.81,"5",1.74,8,"01JUL2005","1","0"
0,"SA",19,0,"P",1,950,2,1,0,0,1.295,11.6,440.433333333333,0.1896084142,51.75,1.15,0,0,"3",3,17,"01JUL2005","0","1"
160,"SO",18,0.71,"P",1.29,473,16.54,1.17,30.79,19,0.35,13,90.1,0,95.125,1.12,0,7.69999999999963,"5",1.72,16,"01JUL2005","1","0"
400,"SN",20,0,"P",1.31,950,10,2,69,6,3,17,461.68,0.2584823109,47.71875,1,1,0,"3",2,21,"01JUL2005","0","1"
400,"SO",22,2.61,"P",1.36,719.5,33,1.31,10.93,23,4,12,124.71,0.0497738554,66.875,1,0,238.27,"5",2,2,"01JUL2005","1","0"
0,"SO",16,0.54,"P",1.11,2572,34.46,1.14,84.85,13,14.9,31,907.03,0,46.1953125,1.18,0,19.4999999999998,"5",2.86,6,"01JUL2005","1","0"
0,"SD",19,0,"P",1,366.333333333333,3,2,29,12.125,1.68,20.8,112.42,0.0183322951,9.40625,1,1,0,"3",4,20,"01JUL2005","0","1"
0,"SM",26,1.16,"H",1.04,3150,15,1,0,13.19,0,21.01,186,0,60.6175390625,1.13,0,0,"3",2.61857142857143,25,"01JUL2005","1","0"
2400,"SC",45,1,"R",1,8154.5,2,2,0,16.08,7,21.88,2340.98,0.165088444,66.625,1,1,0,"3",1.35,11,"01JUL2005","1","0"
0,"SO",22,0,"P",1.03,804,25.2,1.265,26.55,16.08,3.44,17.95,226.1,0,62.728046875,1.03,0,5.85999999999976,"4",3.34,41,"02JUL2005","0","1"
0,"SO",16,0.76,"P",1.02,257.5,20.23,1.01,49.14,3,0.58,3,227.763333333333,0,51.2734375,1.08,0,-4.57021087640896e-13,"5",2.85,29,"02JUL2005","1","0"
0,"SC",21,1,"P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,"3",3,30,"02JUL2005","0","1"
0,"SA",20,1,"P",1.2,950,13,2,39,20,1,22,241.696666666667,0.0830125867,74.921875,1,1,0,"3",0,40,"02JUL2005","0","1"
420,"SO",21,1,"R",1.35,250,18,2,30.44,11,2.9,15,0,0.0473788973,38.234375,1.08,0,0,"3",2,43,"02JUL2005","0","1"
1,"SO",21,1.1,"R",1.05,483,19.2833333333333,1,37.22,6.39,1.16,8.97,331.76,0,40.21875,1.05,0,7.92999999999963,"5",3.04,38,"02JUL2005","1","0"
700,"SN",21,0.94,"R",1,500,4,1.2,80.77,13.5266666666667,0,31.32,526,0.031742534,70.828125,1.19,0,48.8899999999998,"5",1.99,26,"02JUL2005","0","1"
0,"SD",20,1,"P",1.53,499,22,1,75.095,4.16,1.44,3,297.45,0.325250065,31.40625,2,0,0,"3",0,34,"02JUL2005","0","1"
0,"SO",22,3,"P",1.21,950,10,2,0,16,4,16,375.2925,0.1443335731,50.1796875,1,2,2119,"3",0,37,"02JUL2005","1","0"
0,"SC",21,1,"P",1.136,1571,11,1.39,297,4,5,17,964.4,0.2441240083,55.71875,1.11,0,93.6999999999999,"5",4,31,"02JUL2005","0","1"
1000,"SE",22,1.46,"R",1.07,718.5,23.58,1.28,49.69,7.81,1.92,16.88,464.66,0,37.507187500001,1.05,0,99.4533333333332,"4",2.04,65,"05JUL2005","1","0"
1,"SF",22,0,"P",1.05,773.5,17,1.23,45,3,4,10,336.64,0.1748244725,67.03125,1.05,0,12.0499999999998,"5",3,86,"05JUL2005","1","0"
0,"SA",19,1,"P",1.02,189.357142857143,13,1,40,3,2,12,114.22,0.0284230103,58.296875,1.02,0,0,"3",2.32,80,"05JUL2005","1","0"
0,"FT",22,0.95,"R",1.05,1404,22.7744444444444,1.07,48.33,4.27,1.66,7.85,596.85,0.0791726275,51.161015625,1.03,0,14.3099999999997,"5",2.62,53,"05JUL2005","0","1"
0,"SL",19,1,"P",1,200,1,1,31.875,11,0,7,0,0.1267379709,68.09375,1.12,0,0,"3",2.43,85,"05JUL2005","0","1"
1,"SO",18,0.5,"P",1.03,200,17.0633333333333,1.03,42.19,11,0,23,167.71,0.1678808331,58.375,1.11,0,0.289999999999541,"5",2.57,62,"05JUL2005","1","0"
