app_id,GOOD,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02
-14892,1,1,SM,18,1.02,P,1,17550,1,2,0,15.61,8,22.42,8524,0.100892323,50.421875,1,2,0,3,1
-12460,1,0,SA,27,1.9,P,1,10500,1,4,75,12,7,23,7719,0.207828538,61.2578125,1,4,1402,2,0
-1060,1,1,SD,23,0,P,1,9350,1,2,25,3,2,11,8804,0,85.4375,1,1,542,3,2
12298,1,800,SN,24,3,H,2,7200,1,3,1,11.28,3,20.92,6262,0.043641486,58.55785156,1,3,821,3,1
10178,0,2180,SO,38,1,H,3,6750,1,2.53,1,9.32,1,16.79,588,0,58.6171875,1,0,767.9,5,2
-4183,1,0,SD,41,1,H,1,6050,1,4,10,9.88,0,19.18,2790,0.257364034,61.4453125,2,3,2282,2,1
-13308,1,0,SO,29,1,P,1,4950,1,1.845,0,4,5,27,3069,0.089604502,52.0703125,1.19,0,319.37,5,-1
3360,0,440,SA,48,3,R,1,3950,1,1,25,13.405,7,18.32,0,0.303683892,35.9609375,2,1,0,3,0
7699,0,1,SF,20,1,P,1,3400,1,10,77.37,21,3,30,404,0.403301559,58.6875,1,7,337,3,1
11254,1,0,SM,24,2.47,P,1,3300,1,2,17.35666667,14,6,9,93,0,60.6796875,1,2,1851,3,1
-9960,1,1400,SO,25,1,P,1,3222,1,4,0,26,6,26,1147.355,0,69.640625,3,1,0,3,1
-13882,1,600,SM,30,1.22,R,1,3128.5,1,2,22.41666667,8.18,10,4,1562.7,0.425695464,49.7265625,2,2,0,3,0
6780,0,0,SB,22,1,P,1,3100,1,3,80,15,4.31,32,93,0.352561865,77.6875,2,2,737,3,1
8020,1,0,SD,24,1,H,1,3100,1,1,0,14.63,2,17.4,33,0.035282514,77.953125,1,1,0,3,1
-10200,1,900,SD,23,2,R,1,3000,1,4,0,6,5,39,434,0.105020567,41.421875,1,3,2429,3,-1
-12502,1,1220,SD,34,1,R,1,2849.833333,1,20,0,8.28,4,12.64,1243.436667,0.240429119,61.5703125,2,2,0,3,1
-14424,1,700,SL,31,1,R,1,2663.333333,1,3,0,10.26,3.62,19.3,1292.84,0,78.703125,2,3,395,3,1
7280,0,1,SO,19,1,P,1,2500,1,3,0,10,1,61,31,0,81.296875,1,3,1185,3,2
6066,1,1,SA,18,1,P,1,2421.5,1,2,13.04666667,8,8,18,1606.91,0.116642008,66.265625,1,2,0,3,1
6047,0,0,SH,34,1,P,1,2200,1,1,0,6,5,8,1983,0.104414281,56.359375,2,1,451,3,0
-13493,0,0,SD,21,1,P,1,2150,1,1,88.65,18,4,27,668.45,0.294221153,34.578125,1,1,2378,3,1
-6795,1,0,SH,19,2,P,1,2100,1,2,0,13.52,0,27.27,533.56,0.136436935,51.359375,1,2,1181,3,1
-661,0,1,SF,21,1,P,1,1900,1,2,66.25,0,0,5,93,0.287066013,45.8515625,1,2,1103,2,4
1547,1,0,SH,18,0,P,2,1800,1,1,1,12.76333333,1,27.22333333,124,0.172435209,58.171875,1,1,0,3,1
14096,0,0,SH,21,1,P,1,1800,1,1,42.63,2,0,37,0,0,62.07869141,2,1,1195,3,0
-4931,1,1,SC,18,2,H,1,1793.5,1,1,35,9,0,12,808.64,0.21348401,71.140625,1.24,1,0,3,-1
10419,1,800,SO,22,4,P,1,1750,1,3,51,6,22,5,528,0.033275958,58.671875,1,3,1768,3,1
1193,1,1020,SE,38,0,H,1,1700,1,3,1,10.68,3.03,17.88,650,0,9.505859375,1,2,809,3,1
927,0,0,SM,23,1,P,1,1684,1,2,33.54,14.7375,5,27.63,881.13,0,78.125,2,1,639,3,1
-1965,1,80,SN,26,0,R,4,1600,1,1,39,12.545,0,19.31,1,0,51.9375,3,1,603,3,0
14211,1,0,SC,22,2,P,1,1600,1,1,0,15,6,31,1334,0.018875442,66.265625,1.2,1,0,3,-1
